remote_experience,work_location,flexible_hours,data_access_frequency,threat_concern,detection_confidence,encountered_threat,tools_effectiveness,tool_limitations,analytics_importance,remote_exp_num,tool_limitations_encoded,desired_features_count,industry_Finance,industry_Healthcare,industry_Others,industry_Technology,industry_Telecommunications,role_Accountant,role_Bookkeeper,role_Clinical Data Analyst,role_Communications Engineer,role_Compliance Officer,role_Content Writer,role_CyberSecurity Engineer,role_Data Scientist,role_DevOps Engineer,role_Digital Learning Coordinator,role_EdTech Specialist,role_Educational Content Developer,role_Executive Secretary,role_Financial Advisor,role_Financial Analyst,role_Graphics Designer,role_HR Specialist,role_Healthcare Administrator,role_Healthcare IT Specialist,role_IT Administrator,role_Infrastructure Manager,role_Instructional Designer,role_Investment Banker,role_Marketing Coordinator,role_Medical Records Manager,role_Medical Technology Coordinator,role_Network Engineer,role_Online Learning Manager,role_Operations Manager,role_Personal Assistant,role_Product Designer,role_Project Manager,role_Risk Analyst,role_Security Analyst,role_Software Engineer,role_System Architect,role_Systems Analyst,role_Technical Support Specialist,role_Telecommunications Specialist,role_Telemedicine Coordinator,role_Treasury Analyst,tool_Project Management Tools,tool_Instant Messaging,tool_Video Calls,tool_Email,tool_Team Portals,tool_Cloud Collaboration Tools
1,2,2,1,2.0,3,No,4,Difficulty distinguishing between normal and malicious behavior in flexible work hours.,3,2,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,0
0,0,3,3,2.0,5,Not sure,5,,1,1,-1,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,1,1,1,1,0
1,2,1,1,5.0,4,No,2,,2,2,-1,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,1,0,1
1,2,1,3,3.0,2,No,4,"Limited integration with remote work tools (e.g., Slack, Zoom).",3,2,3,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,0,1,0,1,0
2,1,0,3,4.0,1,No,2,"Limited integration with remote work tools (e.g., Slack, Zoom).",1,3,3,5,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0,0,1,0
2,0,4,3,2.0,3,Not sure,5,,5,3,-1,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1
1,1,4,0,1.0,1,Yes,2,Performance impact on remote devices.,5,2,4,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,1
0,0,3,2,3.0,2,Not sure,2,,5,1,-1,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,1,1,1
2,0,2,3,4.0,3,No,3,,5,3,-1,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0,0,0,1
1,1,3,3,4.0,2,Not sure,1,Difficulty distinguishing between normal and malicious behavior in flexible work hours.,3,2,0,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,1,0,1,1
